status,date,title_kr,title_en,sum_kr,sum_en,link
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Previous,2023.12.31,"IoT 디바이스 보안 분석","IoT Device Security Analysis","IoT 기기의 취약점을 자동으로 분석하는 도구를 개발하였습니다.","Developed a tool for automatically analyzing vulnerabilities in IoT devices.",data/research/sample_previous.md
Previous,2023.06.30,"효율적인 코드 리뷰 가이드","Efficient Code Review Guide","코드 리뷰 프로세스를 개선하기 위한 인공지능 기반 가이드 시스템을 제안하였습니다.","Proposed an AI-based guide system to improve the code review process.",
Previous,2023.01.01,"외부 웹사이트 연구 예시","External Website Research Example","외부 연구 홈페이지로 연결되는 예시입니다.","Example linking to an external research homepage.","https://google.com"
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
Ongoing,2024.02.01,"AI 시스템 신뢰성 검증","AI System Reliability Verification","AI 모델의 견고성과 신뢰성을 검증하기 위한 테스팅 프레임워크를 개발합니다.","Developing a testing framework to verify the robustness and reliability of AI models.",
Ongoing,2024.01.01,"LLM 기반 자동화된 프로그램 수정","LLM-based Automated Program Repair","대규모 언어 모델을 활용하여 소프트웨어의 버그를 자동으로 탐지하고 수정하는 기술을 연구합니다.","Research on automatically detecting and fixing software bugs using Large Language Models.",data/research/sample_ongoing.md
